Category,Count,Amount
Wonton,211,"$2,355.56"
Lunch Special,308,"$4,160.47"
Prep item,38,$1.00
Additonal,156,$395.71
Fried Rice,422,"$5,385.14"
Fruit Tea,110,$452.94
Fried Chicken,746,"$8,590.00"
Appetizer,"1,129","$6,407.17"
Ramen,844,"$12,574.53"
Tossed Ramen,480,"$6,908.36"
Tossed Rice Noodle,420,"$6,232.66"
Mai Dessert,19,$111.65
Rice Noodle,404,"$6,053.93"
Gift Card,5,$45.00
Jas-Lemonade,84,$346.85
Combo Items,0,$0.00
Drink,"2,971","$1,930.03"
Open Food,1,$1.50
Special Offer,127,"$1,648.21"
Milk Tea,374,"$1,616.49"
