Item Name,Count,Amount
Beef Ramen,357,"$5,600.47"
Lunch Special,366,"$5,149.01"
Mai's BF Chicken Cutlet Combo,266,"$4,080.53"
Pork Ramen,227,"$3,194.81"
Chicken Ramen,204,"$2,934.90"
Beef Tossed Rice Noodle,155,"$2,522.59"
Beef Tossed Ramen,170,"$2,547.87"
Chicken Fried Rice,190,"$2,379.19"
Mai Special Fried Chicken(8),200,"$2,002.64"
Chicken Rice Noodle Soup,133,"$1,979.08"
Sichuan Chili Wontons,165,"$1,867.63"
Pork Tossed Ramen,144,"$1,917.99"
Beef Rice Noodle Soup,118,"$1,837.62"
Steamed Pork Buns,349,"$1,735.84"
House Ramen,97,"$1,595.96"
Pork Tossed Rice Noodle,105,"$1,423.40"
"Mai's Wing Wheel (Mai OG, Onion, Honey, Coco, Special)",106,"$1,436.39"
Chicken Tossed Ramen,93,"$1,317.34"
Mai's Golden Flake Fried Chicken(8),81,"$1,171.06"
Fried Pork Dumplings(10),136,"$1,239.72"
Beef Fried Rice,82,"$1,175.20"
Chicken Tossed Rice Noodles,73,"$1,041.00"
Cream Cheese Rangoon(6),147,"$1,085.89"
Shrimp Fried Rice,78,"$1,056.36"
Steam Pork Dumplings(10),114,"$1,008.12"
Pork Rice Noodle Soup,68,$933.28
House Fried Rice,63,$906.49
House Rice Noodle Soup,59,$974.87
Vegetable Fried Rice,39,$805.56
Mai's BF Chicken Cutlet,109,$781.11
Vegetable Ramen,55,$771.57
Thai Milk Tea w. boba,166,$738.59
Brown Sugar Milk Tea w. boba,169,$728.16
House Tossed Rice Noodle,41,$682.06
Pork Fried Rice,40,$588.41
Wonton Soup,48,$538.90
Crispy Spring Roll(3),111,$514.27
Chili Pepper Fried Chicken（8）,50,$494.84
House Tossed Ramen,32,$516.72
Tempura Shrimp(3),88,$445.43
Vegetable Rice Noodle Soup,32,$442.28
Golden Coconut Crunch Chicken(8),42,$422.19
Jumbo Chicken Tenders Combo (3),39,$391.75
Matcha Milk Tea w. boba,88,$445.74
Crispy Pork Egg Roll(3),91,$372.53
Mango Milk Tea,82,$381.28
Spicy Cucumber Salad,64,$356.75
Sweet Sesame Ball (6) w. red bean,66,$326.11
Steam Pork Bun （3）,39,$294.51
Vegetable Tossed Rice Noodle,17,$302.35
Dr. Pepper,98,$291.57
Vegetable Tossed Ramen,21,$291.16
Pepsi,90,$268.09
Brown Sugar Rice Cake (5),50,$268.38
Citrus Honey Fried Chicken  (8),29,$286.81
Pepsi zero,94,$277.37
Tangy Honey Mustard Fried Chicken (8),26,$257.33
Onion Glory Fried Chicken(8),22,$223.80
Strawberry Sunrise,59,$252.37
Strawberry Milk Tea,50,$234.01
Mai OG Fried Chicken Wings(4),42,$217.46
Golden Kiwi,46,$207.64
Sweet Ice Tea,71,$209.81
Plain Fried Rice,43,$182.43
Crispy French Fries(LG),47,$184.41
Specialty Drink,57,$169.58
Mai BF Chicken Cutlet Combo,10,$175.94
Mai Buffalo Chicken Wings(8),20,$193.97
Mango Jas-Lemonade,38,$168.05
Unsweet Ice Tea,53,$154.07
Hot Tea,39,$115.78
Strawberry Jas-Lemonade,29,$130.03
Lemonade,38,$108.96
Starry - Sprite,25,$73.66
Jumbo Chicken Tenders(3),15,$97.02
Original Jas-Lemonade,15,$63.99
Ramen,26,$65.93
White Rice - DINE IN,42,$60.26
White Rice,19,$58.14
Bottled Soda,16,$48.26
Peach Jas-Lemonade,8,$37.01
Orange Crush,13,$39.39
Lychee Jas-Lemonade,7,$30.70
Rice Noodle,11,$27.70
Mai‘s special Sauce,21,$25.60
Pepsi Zero,6,$21.29
White Rice-To Go,10,$23.75
Braised Egg （2 half）,12,$21.00
Tropical Jas-Lemonade,3,$15.00
Mango Bingsu,2,$14.29
Brown Sugar Bingsu,4,$20.25
Ramune - Strawberry,4,$13.30
Shrimp (8),4,$13.00
Blueberry Jas-Lemonade,4,$16.55
Thai Bingsu,4,$19.23
Chunked Beef,3,$12.32
Open Food,2,$9.31
Bottled Water,5,$8.58
Ramune - Grape,2,$7.32
Braised Pork,2,$7.23
Strawberry Bingsu,2,$6.75
Coconut Milk,2,$6.65
Braised Egg,3,$6.42
北冰洋 Orange Soda,1,$3.66
Ramune - Melon,1,$3.66
Braised Chicken,1,$3.25
soup to go,1,$1.50
Water,"2,157",$0.00
